bin_id,load
348,3
349,4
350,1
351,1
352,3
353,1
354,3
355,1
356,4
357,4
358,2
359,2
360,0
361,5
362,1
363,5
364,2
365,3
366,1
367,0
368,2
369,2
370,2
371,2
372,0
373,2
374,1
375,4
376,2
377,5
378,2
379,4
380,1
381,2
382,1
383,3
384,4
385,0
386,2
387,0
388,1
389,4
390,1
391,4
392,4
393,1
394,1
395,1
396,2
397,1
398,2
399,0
400,3
401,4
402,4
403,2
404,1
405,2
406,3
407,2
408,1
409,4
410,4
411,0
412,1
413,3
414,0
415,1
416,1
417,2
418,1
419,0
420,2
421,2
422,3
423,5
424,3
425,4
426,1
427,2
428,3
429,1
430,3
431,2
432,3
433,0
434,2
435,4
436,4
437,1
438,3
439,2
440,1
441,1
442,4
443,1
444,2
445,4
446,2
447,2
448,3
449,1
450,0
451,1
452,2
453,3
454,5
455,1
456,1
457,4
458,1
459,3
460,1
461,2
462,2
463,2
464,4
465,1
466,2
467,4
468,2
469,1
470,1
471,0
472,2
473,1
474,2
475,2
476,1
477,1
478,1
479,0
480,2
481,0
482,3
483,1
484,1
485,1
486,2
487,3
488,5
489,2
490,4
491,1
492,2
493,2
494,3
495,3
496,2
497,2
498,1
499,2
500,0
501,3
502,2
503,1
504,1
505,1
506,0
507,2
508,2
509,3
510,2
511,2
512,1
513,4
514,3
515,0
516,3
517,2
518,0
519,6
520,1
521,2
522,1
523,0
524,2
525,3
526,0
527,2
528,2
529,0
530,1
531,4
532,2
533,1
534,2
535,2
536,4
537,0
538,1
539,2
540,2
541,2
542,2
543,1
544,3
545,1
546,1
547,1
548,2
549,2
550,5
551,1
552,0
553,2
554,4
555,3
556,1
557,3
558,3
559,2
560,1
561,1
562,2
563,1
564,1
565,2
566,1
567,2
568,1
569,2
570,3
571,1
572,3
573,2
574,4
575,2
576,3
577,2
578,3
579,1
580,2
581,1
582,0
583,4
584,1
585,4
586,3
587,1
588,4
589,4
590,0
591,1
592,1
593,3
594,2
595,4
596,3
597,2
598,0
599,1
600,0
601,2
602,0
603,2
604,4
605,2
606,0
607,3
608,1
609,2
610,4
611,1
612,2
613,1
614,1
615,0
616,3
617,2
618,1
619,2
620,1
621,4
622,2
623,1
624,5
625,2
626,2
627,2
628,4
629,1
630,4
631,1
632,1
633,1
634,2
635,2
636,4
637,3
638,1
639,2
640,1
641,4
642,0
643,2
644,2
645,0
646,2
647,1
648,1
649,1
650,2
651,4
652,0
653,1
654,4
655,3
656,5
657,1
658,0
659,3
660,4
661,2
662,1
663,0
664,0
665,3
666,0
667,2
668,3
669,1
670,5
671,1
672,1
673,1
674,0
675,3
676,2
677,1
678,0
679,0
680,0
681,3
682,1
683,2
684,2
685,0
