bin_id,load
812,2
813,3
814,2
815,0
816,0
817,1
818,3
819,5
820,3
821,7
822,2
823,2
824,2
825,3
826,2
827,0
828,2
829,2
830,4
831,3
832,2
833,2
834,3
835,3
836,0
837,1
838,1
839,4
840,1
841,0
842,0
843,2
844,1
845,4
846,5
847,1
848,2
849,0
850,2
851,4
852,1
853,0
854,3
855,1
856,3
857,5
858,2
859,5
860,1
861,2
862,2
863,3
864,3
865,0
866,2
867,3
868,5
869,1
870,4
871,3
872,2
873,2
874,2
875,0
876,5
877,1
878,0
879,0
880,0
881,3
882,2
883,0
884,1
885,2
886,3
887,3
888,2
889,1
890,1
891,2
892,3
893,1
894,2
895,2
896,1
897,4
898,1
899,2
900,1
901,0
902,2
903,1
904,2
905,5
906,2
907,2
908,3
909,1
910,4
911,2
912,5
913,6
914,1
915,1
916,2
917,2
918,3
919,1
920,0
921,1
922,3
923,3
924,2
925,3
926,4
927,2
928,1
929,2
930,3
931,2
932,1
933,0
934,2
935,2
936,2
937,4
938,2
939,2
940,1
941,1
942,2
943,1
944,1
945,2
946,4
947,4
948,2
949,4
950,7
951,0
952,2
953,3
954,4
955,2
956,0
957,1
958,1
959,2
960,0
961,3
962,4
963,2
964,1
965,4
966,2
967,1
968,3
969,1
970,1
971,2
972,4
973,1
974,3
975,4
976,0
977,0
978,0
979,2
980,2
981,1
982,2
983,2
984,2
985,1
986,2
987,2
988,0
989,3
990,3
991,2
992,3
993,1
994,3
995,1
996,3
997,3
998,3
999,2
